1,7211,0.1762
1,7314,0.1678
1,9574,0.1380
1,7434,0.1325
1,6578,0.1247
1,7433,0.1247
1,8709,0.1200
1,5579,0.1171
1,5608,0.1092
1,7298,0.1068
1,6627,0.1058
1,8860,0.1057
1,9671,0.1032
1,9784,0.0993
1,5690,0.0991
1,8100,0.0985
1,5921,0.0981
1,7980,0.0959
1,6766,0.0947
1,9478,0.0939
1,8183,0.0936
1,9192,0.0926
1,9281,0.0912
1,7155,0.0903
1,9402,0.0901
1,6808,0.0892
1,5807,0.0889
1,7821,0.0883
1,9384,0.0876
1,7394,0.0874
1,9327,0.0869
1,7853,0.0862
1,5841,0.0848
1,6851,0.0846
1,6116,0.0839
1,9584,0.0837
1,9499,0.0831
1,8358,0.0824
1,8419,0.0816
1,8362,0.0811
1,8276,0.0798
1,9805,0.0792
1,9241,0.0789
1,8170,0.0786
1,8576,0.0780
1,7844,0.0770
1,7800,0.0761
1,9684,0.0760
1,5191,0.0758
1,9664,0.0756
1,9069,0.0756
1,8124,0.0756
1,7623,0.0744
1,9232,0.0740
1,5925,0.0740
1,8564,0.0736
1,8537,0.0736
1,7965,0.0728
1,7142,0.0724
1,5424,0.0724
1,8827,0.0722
1,5174,0.0721
1,7890,0.0720
1,7811,0.0719
1,7532,0.0719
1,9652,0.0716
1,9859,0.0715
1,9212,0.0715
1,9105,0.0712
1,5081,0.0710
1,5930,0.0705
1,7277,0.0705
1,8499,0.0702
1,10004,0.0698
1,9630,0.0698
1,6589,0.0691
1,9198,0.0686
1,8684,0.0684
1,9951,0.0684
1,9591,0.0684
1,8425,0.0683
1,8103,0.0680
1,6521,0.0680
1,8187,0.0679
1,9853,0.0679
1,7838,0.0679
1,7887,0.0674
1,9134,0.0670
1,7906,0.0669
1,5403,0.0669
1,7396,0.0669
1,9663,0.0669
1,5641,0.0667
1,5929,0.0665
1,5569,0.0661
1,6008,0.0661
1,5586,0.0655
1,9665,0.0654
1,6537,0.0652
1,7036,0.0652
1,7879,0.0643
1,8166,0.0636
1,7369,0.0635
1,6474,0.0632
1,6715,0.0632
1,9326,0.0632
1,9589,0.0627
1,6951,0.0626
1,9422,0.0616
1,8139,0.0614
1,5435,0.0610
1,8148,0.0607
1,9490,0.0605
1,8399,0.0603
1,8389,0.0601
1,8264,0.0597
1,9804,0.0597
1,7279,0.0596
1,6967,0.0590
1,7981,0.0590
1,5101,0.0586
1,7079,0.0586
1,9572,0.0585
1,8435,0.0585
1,5568,0.0580
1,6884,0.0580
1,7872,0.0577
1,6558,0.0574
1,5023,0.0571
1,7779,0.0570
1,8409,0.0561
1,8046,0.0560
1,7300,0.0556
1,7409,0.0554
1,9732,0.0553
1,9360,0.0551
1,7942,0.0551
1,7499,0.0548
1,6549,0.0547
1,9394,0.0546
1,5805,0.0546
1,9156,0.0545
1,7362,0.0544
1,9595,0.0543
1,7160,0.0542
1,6336,0.0541
1,5229,0.0540
1,9484,0.0538
1,9961,0.0536
1,7542,0.0536
2,6552,0.3004
2,6538,0.2744
2,6220,0.2626
2,6279,0.2620
2,6658,0.2509
2,7947,0.2159
2,7833,0.2066
2,6080,0.1667
2,8408,0.1577
2,6651,0.1557
2,8843,0.1517
2,9659,0.1446
2,5860,0.1347
2,9576,0.1337
2,8413,0.1311
2,10022,0.1296
